date,city,vehicle_count,avg_speed,congestion_level,temperature,heat_index,humidity,rainfall,aqi,air_quality_category,respiratory_cases,heat_related_cases,health_risk_score,risk_level
2025-01-19,Lucknow,378,23,High,13.4,15.9,62,0.0,226,Poor,64,0,0.63,Medium
2025-01-19,Shimla,179,46,Medium,9.4,12.8,84,0.0,106,Poor,31,0,0.35,Low
2025-01-20,Delhi,311,31,Medium,27.8,31.0,79,0.0,253,Poor,98,0,0.67,Medium
2025-01-20,Bangalore,205,43,Medium,17.2,19.0,46,0.0,121,Poor,38,0,0.43,Medium
2025-01-20,Mumbai,591,10,High,29.1,32.2,77,14.4,287,Poor,103,0,0.82,High
2025-01-20,Chennai,550,10,High,39.0,40.2,30,0.0,276,Poor,89,18,0.87,High
2025-01-20,Ahmedabad,286,34,Medium,26.5,28.0,38,0.0,212,Poor,89,0,0.61,Medium
2025-01-20,Hyderabad,415,19,High,20.2,22.6,61,0.0,219,Poor,90,0,0.67,Medium
2025-01-20,Lucknow,246,38,Medium,17.1,18.5,36,0.0,224,Poor,84,0,0.56,Medium
2025-01-20,Shimla,152,49,Medium,13.2,15.8,66,0.0,107,Poor,42,0,0.38,Low
2025-01-21,Delhi,350,27,High,13.2,15.6,59,0.0,267,Poor,103,0,0.68,Medium
2025-01-21,Bangalore,403,21,High,18.7,21.5,70,13.1,197,Poor,79,0,0.63,Medium
2025-01-21,Mumbai,367,25,High,30.7,32.9,54,0.0,192,Poor,89,2,0.7,High
2025-01-21,Chennai,404,21,High,40.0,43.3,83,0.0,239,Poor,114,38,0.83,High
2025-01-21,Ahmedabad,210,42,Medium,25.7,27.0,33,1.0,199,Poor,86,0,0.59,Medium
2025-01-21,Hyderabad,463,14,High,41.1,43.9,69,0.0,218,Poor,65,37,0.8,High
2025-01-21,Lucknow,294,33,Medium,34.3,37.0,67,0.0,231,Poor,78,11,0.69,Medium
2025-01-21,Shimla,197,44,Medium,3.0,5.9,73,0.0,123,Poor,51,0,0.33,Low
2025-01-22,Delhi,420,19,High,25.5,28.4,73,0.0,278,Poor,74,0,0.78,High
2025-01-22,Bangalore,159,48,Medium,32.9,34.5,40,6.5,141,Poor,69,8,0.56,Medium
2025-01-22,Mumbai,298,32,Medium,37.1,39.8,67,0.0,208,Poor,76,20,0.67,Medium
2025-01-22,Chennai,547,10,High,28.5,31.1,65,1.5,270,Poor,104,0,0.79,High
2025-01-22,Ahmedabad,257,37,Medium,40.2,41.8,41,2.6,203,Poor,92,15,0.69,Medium
2025-01-22,Hyderabad,261,36,Medium,38.4,41.3,72,0.0,163,Poor,67,20,0.62,Medium
2025-01-22,Lucknow,234,39,Medium,17.9,20.1,56,19.4,221,Poor,63,0,0.56,Medium
2025-01-22,Shimla,124,52,Low,18.5,21.8,83,0.0,94,Moderate,26,0,0.31,Low
2025-01-23,Delhi,427,18,High,36.5,39.5,76,0.0,259,Poor,79,16,0.83,High
2025-01-23,Bangalore,311,31,Medium,24.6,26.5,47,0.0,161,Poor,40,0,0.53,Medium
2025-01-23,Mumbai,269,36,Medium,23.0,24.7,42,0.0,203,Poor,97,0,0.57,Medium
2025-01-23,Chennai,492,11,High,39.4,41.8,59,0.0,233,Poor,86,27,0.81,High
2025-01-23,Ahmedabad,297,32,Medium,34.6,37.0,59,0.0,212,Poor,102,17,0.66,Medium
2025-01-23,Hyderabad,208,42,Medium,25.4,28.2,69,0.0,150,Poor,53,0,0.52,Medium
2025-01-23,Lucknow,379,23,High,34.2,37.6,84,15.1,225,Poor,73,16,0.77,High
2025-01-23,Shimla,91,55,Low,18.8,20.8,50,19.1,84,Moderate,29,0,0.3,Low
2025-01-24,Delhi,553,10,High,32.0,33.5,38,0.0,300,Poor,91,5,0.85,High
2025-01-24,Bangalore,347,27,Medium,18.3,19.5,30,0.0,179,Poor,55,0,0.51,Medium
2025-01-24,Mumbai,278,35,Medium,36.6,39.1,63,0.0,187,Poor,76,10,0.64,Medium
2025-01-24,Chennai,384,23,High,26.6,29.5,72,0.0,208,Poor,84,0,0.69,Medium
2025-01-24,Ahmedabad,346,27,Medium,28.0,29.8,45,14.5,228,Poor,99,0,0.64,Medium
2025-01-24,Hyderabad,475,13,High,23.3,24.7,35,0.0,231,Poor,80,0,0.7,High
2025-01-24,Lucknow,212,42,Medium,24.4,27.3,72,0.0,214,Poor,86,0,0.6,Medium
2025-01-24,Shimla,119,52,Low,6.4,7.6,30,0.0,73,Moderate,25,0,0.2,Low
2025-01-25,Delhi,297,32,Medium,15.7,17.5,44,0.0,239,Poor,98,0,0.57,Medium
2025-01-25,Bangalore,353,26,High,16.6,19.9,83,0.0,198,Poor,70,0,0.61,Medium
2025-01-25,Mumbai,333,28,Medium,25.2,26.6,35,0.0,208,Poor,102,0,0.6,Medium
2025-01-25,Chennai,392,22,High,24.6,26.0,34,0.0,245,Poor,117,0,0.73,High
2025-01-25,Ahmedabad,267,36,Medium,43.5,46.8,83,0.0,188,Poor,54,44,0.69,Medium
2025-01-25,Hyderabad,247,38,Medium,39.3,42.0,67,11.6,174,Poor,61,25,0.64,Medium
2025-01-25,Lucknow,278,35,Medium,29.1,31.5,61,1.9,215,Poor,90,0,0.63,Medium
2025-01-25,Shimla,122,52,Low,25.6,28.2,64,0.0,89,Moderate,39,0,0.35,Low
2025-01-26,Delhi,575,10,High,38.7,40.1,36,0.0,321,Poor,110,18,0.9,High
2025-01-26,Bangalore,156,48,Medium,25.3,28.1,71,0.0,135,Poor,37,0,0.5,Medium
2025-01-26,Mumbai,609,10,High,25.6,27.8,54,0.0,281,Poor,105,0,0.79,High
2025-01-26,Chennai,329,29,Medium,27.7,29.3,39,0.0,194,Poor,79,0,0.59,Medium
2025-01-26,Ahmedabad,378,23,High,35.8,37.9,53,0.0,237,Poor,100,19,0.79,High
2025-01-26,Hyderabad,423,18,High,24.3,27.2,73,10.1,200,Poor,65,0,0.67,Medium
2025-01-26,Lucknow,304,32,Medium,35.0,36.4,34,0.0,223,Poor,69,18,0.68,Medium
2025-01-26,Shimla,58,59,Low,9.2,11.2,51,0.0,78,Moderate,26,0,0.23,Low
2025-01-27,Delhi,506,10,High,30.1,32.7,64,0.0,277,Poor,84,0,0.81,High
2025-01-27,Bangalore,319,30,Medium,22.2,25.4,80,5.5,177,Poor,66,0,0.53,Medium
2025-01-27,Mumbai,515,10,High,30.9,33.3,61,0.0,234,Poor,60,3,0.76,High
2025-01-27,Chennai,450,15,High,24.8,26.4,40,0.0,233,Poor,59,0,0.72,High
2025-01-27,Ahmedabad,354,26,High,38.2,41.6,84,0.0,229,Poor,73,25,0.8,High
2025-01-27,Hyderabad,401,21,High,38.0,40.2,54,0.0,204,Poor,99,13,0.77,High
2025-01-27,Lucknow,398,21,High,38.0,39.7,43,0.0,238,Poor,96,29,0.81,High
2025-01-27,Shimla,127,51,Low,9.9,11.5,41,0.0,107,Poor,33,0,0.27,Low
2025-01-28,Delhi,392,22,High,37.5,40.9,85,0.0,268,Poor,112,16,0.85,High
2025-01-28,Bangalore,416,19,High,30.4,33.5,78,0.0,208,Poor,55,0,0.72,High
2025-01-28,Mumbai,290,33,Medium,24.3,27.1,69,0.0,182,Poor,78,0,0.55,Medium
2025-01-28,Chennai,360,25,High,39.6,42.1,62,0.0,222,Poor,64,34,0.8,High
2025-01-28,Ahmedabad,257,37,Medium,22.3,23.6,32,12.5,223,Poor,74,0,0.6,Medium
2025-01-28,Hyderabad,395,22,High,37.5,38.7,31,0.0,211,Poor,75,28,0.77,High
2025-01-28,Lucknow,261,36,Medium,25.7,27.6,48,13.0,212,Poor,97,0,0.6,Medium
2025-01-28,Shimla,93,55,Low,13.1,14.9,45,0.0,91,Moderate,28,0,0.27,Low
2025-01-29,Delhi,240,39,Medium,35.7,38.2,62,0.0,208,Poor,79,22,0.67,Medium
2025-01-29,Bangalore,246,38,Medium,18.2,21.4,80,0.0,165,Poor,64,0,0.49,Medium
2025-01-29,Mumbai,514,10,High,30.8,33.1,57,0.0,260,Poor,114,2,0.79,High
2025-01-29,Chennai,535,10,High,30.4,33.7,82,0.0,243,Poor,81,1,0.77,High
2025-01-29,Ahmedabad,263,36,Medium,21.7,24.7,74,0.0,222,Poor,57,0,0.59,Medium
2025-01-29,Hyderabad,355,26,High,37.6,39.0,35,3.6,189,Poor,82,14,0.74,High
2025-01-29,Lucknow,348,27,Medium,27.3,29.3,49,0.0,246,Poor,75,0,0.66,Medium
2025-01-29,Shimla,102,54,Low,14.5,16.4,47,0.0,70,Moderate,26,0,0.25,Low
2025-01-30,Delhi,338,28,Medium,34.9,37.1,55,0.6,260,Poor,129,8,0.73,High
2025-01-30,Bangalore,246,38,Medium,17.5,20.7,79,0.0,164,Poor,71,0,0.49,Medium
2025-01-30,Mumbai,478,12,High,36.6,39.9,83,0.0,227,Poor,74,15,0.79,High
2025-01-30,Chennai,249,38,Medium,33.2,34.5,33,0.0,188,Poor,59,8,0.62,Medium
2025-01-30,Ahmedabad,205,43,Medium,34.0,35.3,32,0.0,193,Poor,65,8,0.63,Medium
2025-01-30,Hyderabad,270,35,Medium,32.7,34.5,44,0.0,164,Poor,51,8,0.59,Medium
2025-01-30,Lucknow,245,38,Medium,26.1,27.4,32,0.0,191,Poor,86,0,0.58,Medium
2025-01-30,Shimla,50,60,Low,3.0,5.8,69,0.0,83,Moderate,27,0,0.19,Low
2025-01-31,Delhi,368,25,High,20.6,23.3,68,0.0,240,Poor,70,0,0.7,High
2025-01-31,Bangalore,353,26,High,24.5,26.9,59,0.0,179,Poor,50,0,0.64,Medium
2025-01-31,Mumbai,444,16,High,29.1,30.6,38,0.0,248,Poor,81,0,0.76,High
2025-01-31,Chennai,231,40,Medium,41.0,43.1,53,6.9,185,Poor,88,23,0.67,Medium
2025-01-31,Ahmedabad,283,34,Medium,32.7,36.0,82,0.0,220,Poor,85,7,0.66,Medium
2025-01-31,Hyderabad,253,37,Medium,38.7,40.2,37,2.2,185,Poor,82,30,0.65,Medium
2025-01-31,Lucknow,359,26,High,35.7,37.8,52,0.0,242,Poor,91,15,0.8,High
2025-01-31,Shimla,73,57,Low,3.1,5.3,54,0.0,71,Moderate,23,0,0.18,Low
2025-02-01,Delhi,391,22,High,40.3,42.5,54,15.8,260,Poor,89,36,0.86,High
2025-02-01,Bangalore,349,27,Medium,28.8,31.1,58,0.0,195,Poor,90,0,0.6,Medium
2025-02-01,Mumbai,409,20,High,28.4,31.7,83,0.0,240,Poor,118,0,0.75,High
2025-02-01,Chennai,437,17,High,32.0,33.9,47,0.0,234,Poor,67,3,0.77,High
2025-02-01,Ahmedabad,216,41,Medium,43.8,47.0,80,0.0,179,Poor,65,32,0.68,Medium
2025-02-01,Hyderabad,343,27,Medium,32.5,34.0,38,0.0,206,Poor,63,9,0.64,Medium
2025-02-01,Lucknow,358,26,High,37.3,38.5,31,13.3,223,Poor,107,23,0.79,High
2025-02-01,Shimla,60,59,Low,14.5,16.7,56,0.0,86,Moderate,35,0,0.27,Low
2025-02-02,Delhi,513,10,High,19.1,22.1,74,0.0,298,Poor,100,0,0.76,High
2025-02-02,Bangalore,223,41,Medium,28.8,30.1,33,0.0,132,Poor,62,0,0.52,Medium
2025-02-02,Mumbai,499,10,High,34.2,37.2,76,0.0,245,Poor,103,7,0.79,High
2025-02-02,Chennai,261,36,Medium,37.6,39.6,49,10.4,213,Poor,90,30,0.68,Medium
2025-02-02,Ahmedabad,228,40,Medium,43.7,45.9,55,0.0,188,Poor,92,25,0.69,Medium
2025-02-02,Hyderabad,345,27,Medium,34.4,36.9,62,0.0,214,Poor,64,14,0.66,Medium
2025-02-02,Lucknow,231,40,Medium,30.1,31.6,38,0.0,193,Poor,68,0,0.61,Medium
2025-02-02,Shimla,67,58,Low,9.6,11.2,39,0.0,96,Moderate,27,0,0.25,Low
2025-02-03,Delhi,284,34,Medium,29.5,32.8,83,10.2,251,Poor,76,0,0.68,Medium
2025-02-03,Bangalore,162,47,Medium,23.0,24.6,40,0.0,132,Poor,55,0,0.48,Medium
2025-02-03,Mumbai,537,10,High,37.5,39.1,40,0.0,273,Poor,127,29,0.85,High
2025-02-03,Chennai,441,16,High,38.1,41.3,81,0.0,254,Poor,88,16,0.83,High
2025-02-03,Ahmedabad,435,17,High,35.0,38.2,80,0.0,232,Poor,61,8,0.78,High
2025-02-03,Hyderabad,258,37,Medium,28.4,30.7,57,0.0,164,Poor,43,0,0.56,Medium
2025-02-03,Lucknow,219,41,Medium,33.9,35.5,39,0.0,200,Poor,71,13,0.64,Medium
2025-02-03,Shimla,88,56,Low,24.3,26.1,45,0.0,93,Moderate,37,0,0.35,Low
2025-02-04,Delhi,502,10,High,22.5,25.0,63,0.0,294,Poor,107,0,0.78,High
2025-02-04,Bangalore,345,27,Medium,16.7,17.9,31,9.8,182,Poor,68,0,0.5,Medium
2025-02-04,Mumbai,564,10,High,26.4,27.6,30,6.2,267,Poor,97,0,0.77,High
2025-02-04,Chennai,461,14,High,29.5,31.0,37,14.3,245,Poor,70,0,0.76,High
2025-02-04,Ahmedabad,301,32,Medium,21.4,22.8,35,0.0,202,Poor,59,0,0.56,Medium
2025-02-04,Hyderabad,473,13,High,39.9,42.0,53,13.1,242,Poor,112,35,0.83,High
2025-02-04,Lucknow,381,23,High,28.4,29.8,36,0.0,236,Poor,63,0,0.74,High
2025-02-04,Shimla,116,53,Low,3.4,5.0,39,0.0,75,Moderate,33,0,0.18,Low
2025-02-05,Delhi,534,10,High,28.2,31.0,69,10.2,291,Poor,107,0,0.82,High
2025-02-05,Bangalore,353,26,High,20.0,21.2,31,9.9,161,Poor,77,0,0.59,Medium
2025-02-05,Mumbai,525,10,High,26.5,28.2,43,14.7,264,Poor,72,0,0.77,High
2025-02-05,Chennai,377,24,High,36.4,38.2,46,0.0,234,Poor,89,22,0.79,High
2025-02-05,Ahmedabad,378,23,High,18.0,20.0,50,0.0,242,Poor,99,0,0.68,Medium
2025-02-05,Hyderabad,425,18,High,29.8,33.2,84,0.0,229,Poor,100,0,0.74,High
2025-02-05,Lucknow,213,42,Medium,33.9,36.6,67,13.0,203,Poor,73,11,0.65,Medium
2025-02-05,Shimla,117,52,Low,15.0,17.5,62,14.1,108,Poor,32,0,0.3,Low
2025-02-06,Delhi,335,28,Medium,28.1,31.3,79,0.0,223,Poor,68,0,0.63,Medium
2025-02-06,Bangalore,232,40,Medium,26.1,28.2,53,0.0,140,Poor,60,0,0.51,Medium
2025-02-06,Mumbai,426,18,High,27.5,30.3,71,0.0,211,Poor,82,0,0.7,High
2025-02-06,Chennai,501,10,High,33.9,36.1,56,0.0,252,Poor,80,7,0.8,High
2025-02-06,Ahmedabad,440,17,High,36.7,38.8,53,0.0,250,Poor,85,20,0.82,High
2025-02-06,Hyderabad,223,41,Medium,23.1,25.0,47,0.0,158,Poor,48,0,0.51,Medium
2025-02-06,Lucknow,195,44,Medium,25.5,27.5,49,0.0,202,Poor,58,0,0.59,Medium
2025-02-06,Shimla,117,52,Low,22.5,23.7,31,0.0,108,Poor,51,0,0.35,Low
2025-02-07,Delhi,556,10,High,32.2,33.5,32,0.0,309,Poor,118,5,0.85,High
2025-02-07,Bangalore,424,18,High,18.8,21.5,68,0.0,200,Poor,81,0,0.63,Medium
2025-02-07,Mumbai,303,32,Medium,37.1,39.1,49,0.0,188,Poor,78,17,0.65,Medium
2025-02-07,Chennai,348,27,Medium,39.0,42.0,76,0.0,209,Poor,68,26,0.69,Medium
2025-02-07,Ahmedabad,350,27,High,33.4,36.5,77,0.0,221,Poor,92,12,0.76,High
2025-02-07,Hyderabad,444,16,High,24.9,28.0,77,5.9,211,Poor,85,0,0.69,Medium
2025-02-07,Lucknow,301,32,Medium,21.9,23.8,47,0.0,231,Poor,60,0,0.6,Medium
2025-02-07,Shimla,105,54,Low,7.2,8.8,41,0.0,86,Moderate,28,0,0.22,Low
2025-02-08,Delhi,347,27,Medium,25.1,28.2,78,0.0,257,Poor,74,0,0.66,Medium
2025-02-08,Bangalore,418,19,High,28.8,32.1,82,0.0,177,Poor,84,0,0.67,Medium
2025-02-08,Mumbai,528,10,High,36.2,37.4,31,0.0,256,Poor,122,18,0.82,High
2025-02-08,Chennai,226,40,Medium,39.5,42.4,73,17.1,195,Poor,70,37,0.67,Medium
2025-02-08,Ahmedabad,324,29,Medium,19.2,22.1,72,5.5,240,Poor,96,0,0.6,Medium
2025-02-08,Hyderabad,234,39,Medium,31.8,34.6,70,0.0,187,Poor,58,4,0.61,Medium
2025-02-08,Lucknow,370,24,High,18.0,20.7,68,0.0,230,Poor,85,0,0.67,Medium
2025-02-08,Shimla,159,48,Medium,27.9,31.1,80,0.0,111,Poor,33,0,0.48,Medium
2025-02-09,Delhi,569,10,High,37.7,39.1,35,17.9,303,Poor,80,27,0.89,High
2025-02-09,Bangalore,449,16,High,28.9,30.8,48,0.0,208,Poor,92,0,0.71,High
2025-02-09,Mumbai,310,31,Medium,29.7,32.4,68,0.0,214,Poor,93,0,0.63,Medium
2025-02-09,Chennai,513,10,High,24.2,26.4,55,2.6,244,Poor,75,0,0.73,High
2025-02-09,Ahmedabad,339,28,Medium,42.3,45.5,81,0.0,220,Poor,67,41,0.73,High
2025-02-09,Hyderabad,189,44,Medium,21.1,23.9,71,13.9,171,Poor,44,0,0.52,Medium
2025-02-09,Lucknow,408,20,High,34.1,36.7,64,0.0,266,Poor,123,10,0.82,High
2025-02-09,Shimla,88,56,Low,4.0,7.0,74,0.0,68,Moderate,23,0,0.18,Low
2025-02-10,Delhi,325,29,Medium,37.5,38.9,34,0.0,250,Poor,102,21,0.73,High
2025-02-10,Bangalore,290,33,Medium,17.0,19.9,73,1.3,174,Poor,85,0,0.5,Medium
2025-02-10,Mumbai,650,10,High,30.3,32.1,46,0.0,293,Poor,134,0,0.83,High
2025-02-10,Chennai,312,31,Medium,37.8,40.8,76,17.5,220,Poor,57,13,0.7,High
2025-02-10,Ahmedabad,452,15,High,33.2,36.1,73,5.4,257,Poor,72,8,0.8,High
2025-02-10,Hyderabad,322,30,Medium,21.2,23.9,67,19.4,188,Poor,66,0,0.54,Medium
2025-02-10,Lucknow,312,31,Medium,27.8,30.9,78,0.0,233,Poor,62,0,0.65,Medium
2025-02-10,Shimla,190,44,Medium,9.4,11.5,53,0.0,91,Moderate,44,0,0.33,Low
2025-02-11,Delhi,271,35,Medium,30.7,33.7,75,0.0,207,Poor,88,2,0.63,Medium
2025-02-11,Bangalore,185,45,Medium,27.7,29.0,32,0.0,141,Poor,43,0,0.52,Medium
2025-02-11,Mumbai,274,35,Medium,32.0,34.5,63,0.0,175,Poor,43,6,0.6,Medium
2025-02-11,Chennai,232,40,Medium,40.0,41.4,34,0.0,176,Poor,54,16,0.65,Medium
2025-02-11,Ahmedabad,453,15,High,39.4,41.8,61,0.0,264,Poor,108,23,0.85,High
2025-02-11,Hyderabad,290,33,Medium,40.8,43.8,76,13.3,168,Poor,50,28,0.65,Medium
2025-02-11,Lucknow,365,25,High,19.4,21.9,63,0.0,256,Poor,86,0,0.71,High
2025-02-11,Shimla,160,48,Medium,12.1,13.6,37,11.6,103,Poor,33,0,0.37,Low
2025-02-12,Delhi,315,30,Medium,18.0,21.2,80,0.0,232,Poor,81,0,0.58,Medium
2025-02-12,Bangalore,220,41,Medium,28.4,31.0,66,0.0,160,Poor,59,0,0.55,Medium
2025-02-12,Mumbai,391,22,High,37.0,38.4,35,7.5,234,Poor,82,10,0.8,High
2025-02-12,Chennai,308,31,Medium,26.5,29.3,70,0.0,201,Poor,54,0,0.59,Medium
2025-02-12,Ahmedabad,394,22,High,43.7,45.0,33,0.0,241,Poor,113,23,0.85,High
2025-02-12,Hyderabad,402,21,High,22.9,24.5,40,0.0,203,Poor,69,0,0.66,Medium
2025-02-12,Lucknow,151,49,Medium,21.2,23.0,45,0.0,168,Poor,51,0,0.52,Medium
2025-02-12,Shimla,167,47,Medium,18.6,20.6,50,1.5,93,Moderate,37,0,0.4,Medium
2025-02-13,Delhi,524,10,High,11.7,14.3,64,0.0,280,Poor,128,0,0.69,Medium
2025-02-13,Bangalore,212,42,Medium,25.6,28.8,81,4.6,150,Poor,69,0,0.52,Medium
2025-02-13,Mumbai,628,10,High,27.5,29.8,57,6.3,276,Poor,88,0,0.79,High
2025-02-13,Chennai,230,40,Medium,41.4,44.7,82,0.0,194,Poor,56,38,0.68,Medium
2025-02-13,Ahmedabad,392,22,High,22.8,24.6,44,0.0,235,Poor,105,0,0.71,High
2025-02-13,Hyderabad,302,32,Medium,21.0,23.7,68,0.0,189,Poor,55,0,0.54,Medium
2025-02-13,Lucknow,418,19,High,27.9,31.2,82,0.0,256,Poor,69,0,0.77,High
2025-02-13,Shimla,163,47,Medium,8.4,10.2,44,4.2,87,Moderate,28,0,0.32,Low
2025-02-14,Delhi,569,10,High,11.4,13.7,58,0.0,301,Poor,130,0,0.72,High
2025-02-14,Bangalore,376,24,High,20.1,22.6,62,0.0,179,Poor,68,0,0.61,Medium
2025-02-14,Mumbai,587,10,High,32.5,34.9,60,0.0,263,Poor,119,7,0.81,High
2025-02-14,Chennai,352,26,High,29.7,31.0,32,8.7,232,Poor,63,0,0.75,High
2025-02-14,Ahmedabad,391,22,High,21.3,22.9,40,0.0,217,Poor,74,0,0.67,Medium
2025-02-14,Hyderabad,288,33,Medium,31.9,34.7,70,10.6,179,Poor,80,3,0.6,Medium
2025-02-14,Lucknow,245,38,Medium,23.9,26.4,62,0.0,213,Poor,86,0,0.59,Medium
2025-02-14,Shimla,136,50,Low,23.7,25.3,39,0.0,101,Poor,34,0,0.35,Low
2025-02-15,Delhi,458,15,High,17.6,20.0,59,0.0,268,Poor,123,0,0.71,High
2025-02-15,Bangalore,417,19,High,22.9,24.6,43,0.0,175,Poor,55,0,0.63,Medium
2025-02-15,Mumbai,583,10,High,22.6,25.1,63,0.0,265,Poor,127,0,0.74,High
2025-02-15,Chennai,349,27,Medium,31.6,33.1,38,0.0,209,Poor,91,3,0.64,Medium
2025-02-15,Ahmedabad,409,20,High,19.1,21.1,49,10.7,239,Poor,68,0,0.69,Medium
2025-02-15,Hyderabad,211,42,Medium,24.9,26.5,40,0.0,144,Poor,61,0,0.51,Medium
2025-02-15,Lucknow,169,47,Medium,13.3,14.6,33,4.6,183,Poor,51,0,0.48,Medium
2025-02-15,Shimla,129,51,Low,11.3,13.0,43,0.0,91,Moderate,38,0,0.26,Low
2025-02-16,Delhi,500,10,High,39.2,40.7,37,0.0,272,Poor,89,15,0.86,High
2025-02-16,Bangalore,295,33,Medium,20.7,22.5,44,0.0,176,Poor,82,0,0.52,Medium
2025-02-16,Mumbai,414,19,High,34.4,36.4,50,0.0,237,Poor,63,15,0.79,High
2025-02-16,Chennai,496,10,High,28.4,31.3,73,0.0,261,Poor,90,0,0.78,High
2025-02-16,Ahmedabad,266,36,Medium,35.2,36.4,30,0.0,200,Poor,81,14,0.65,Medium
2025-02-16,Hyderabad,213,42,Medium,34.1,37.5,84,0.0,168,Poor,57,10,0.6,Medium
2025-02-16,Lucknow,329,29,Medium,29.2,30.6,35,0.0,215,Poor,85,0,0.63,Medium
2025-02-16,Shimla,89,56,Low,21.4,24.3,72,0.0,70,Moderate,26,0,0.3,Low
2025-02-17,Delhi,590,10,High,32.6,34.0,36,0.0,307,Poor,130,7,0.86,High
2025-02-17,Bangalore,442,16,High,32.2,33.6,35,8.6,186,Poor,77,6,0.7,High
2025-02-17,Mumbai,627,10,High,36.9,38.2,32,0.0,280,Poor,73,10,0.86,High
2025-02-17,Chennai,374,24,High,24.7,26.2,38,0.0,213,Poor,96,0,0.69,Medium
2025-02-17,Ahmedabad,377,24,High,42.3,44.6,57,11.0,253,Poor,117,40,0.86,High
2025-02-17,Hyderabad,357,26,High,40.3,43.5,80,6.1,203,Poor,62,40,0.78,High
2025-02-17,Lucknow,387,22,High,34.0,37.0,76,0.0,239,Poor,85,10,0.79,High
2025-02-17,Shimla,128,51,Low,3.0,5.1,52,0.0,96,Moderate,40,0,0.21,Low
2025-02-18,Delhi,318,30,Medium,28.8,31.9,78,0.0,248,Poor,122,0,0.67,Medium
2025-02-18,Bangalore,216,41,Medium,29.8,33.0,81,0.0,135,Poor,53,0,0.53,Medium
2025-02-18,Mumbai,442,16,High,35.1,37.9,71,0.0,224,Poor,67,13,0.77,High
2025-02-18,Chennai,509,10,High,39.4,41.7,58,7.9,237,Poor,66,15,0.82,High
2025-02-18,Ahmedabad,240,39,Medium,31.9,35.3,84,0.0,215,Poor,54,3,0.65,Medium
2025-02-18,Hyderabad,254,37,Medium,21.8,25.2,84,0.0,178,Poor,75,0,0.53,Medium
2025-02-18,Lucknow,325,29,Medium,38.2,40.1,48,0.0,220,Poor,88,28,0.7,High
2025-02-18,Shimla,55,59,Low,13.9,16.9,75,0.0,87,Moderate,26,0,0.27,Low
2025-02-19,Delhi,430,18,High,29.8,31.5,43,0.0,284,Poor,90,0,0.82,High
2025-02-19,Bangalore,390,22,High,18.7,20.3,40,0.0,207,Poor,79,0,0.64,Medium
2025-02-19,Mumbai,583,10,High,33.4,36.0,66,0.0,268,Poor,95,11,0.82,High
2025-02-19,Chennai,383,23,High,25.7,28.8,77,5.7,209,Poor,54,0,0.69,Medium
2025-02-19,Ahmedabad,303,32,Medium,21.4,23.9,62,0.0,207,Poor,82,0,0.57,Medium
2025-02-19,Hyderabad,462,14,High,29.6,31.0,35,4.8,230,Poor,65,0,0.74,High
