date,city,temperature,humidity,rainfall,aqi,heat_index,air_quality_category
2025-01-21,Ahmedabad,25.7,33,1.0,199,27.0,Poor
2025-01-21,Hyderabad,41.1,69,0.0,218,43.9,Poor
2025-01-21,Lucknow,34.3,67,0.0,231,37.0,Poor
2025-01-21,Shimla,3.0,73,0.0,123,5.9,Poor
2025-01-22,Delhi,25.5,73,0.0,278,28.4,Poor
2025-01-22,Bangalore,32.9,40,6.5,141,34.5,Poor
2025-01-22,Mumbai,37.1,67,0.0,208,39.8,Poor
2025-01-22,Chennai,28.5,65,1.5,270,31.1,Poor
2025-01-22,Ahmedabad,40.2,41,2.6,203,41.8,Poor
2025-01-22,Hyderabad,38.4,72,0.0,163,41.3,Poor
2025-01-22,Lucknow,17.9,56,19.4,221,20.1,Poor
2025-01-22,Shimla,18.5,83,0.0,94,21.8,Moderate
2025-01-23,Delhi,36.5,76,0.0,259,39.5,Poor
2025-01-23,Bangalore,24.6,47,0.0,161,26.5,Poor
2025-01-23,Mumbai,23.0,42,0.0,203,24.7,Poor
2025-01-23,Chennai,39.4,59,0.0,233,41.8,Poor
2025-01-23,Ahmedabad,34.6,59,0.0,212,37.0,Poor
2025-01-23,Hyderabad,25.4,69,0.0,150,28.2,Poor
2025-01-23,Lucknow,34.2,84,15.1,225,37.6,Poor
2025-01-23,Shimla,18.8,50,19.1,84,20.8,Moderate
2025-01-24,Delhi,32.0,38,0.0,300,33.5,Poor
2025-01-24,Bangalore,18.3,30,0.0,179,19.5,Poor
2025-01-24,Mumbai,36.6,63,0.0,187,39.1,Poor
2025-01-24,Chennai,26.6,72,0.0,208,29.5,Poor
2025-01-24,Ahmedabad,28.0,45,14.5,228,29.8,Poor
2025-01-24,Hyderabad,23.3,35,0.0,231,24.7,Poor
2025-01-24,Lucknow,24.4,72,0.0,214,27.3,Poor
2025-01-24,Shimla,6.4,30,0.0,73,7.6,Moderate
2025-01-25,Delhi,15.7,44,0.0,239,17.5,Poor
2025-01-25,Bangalore,16.6,83,0.0,198,19.9,Poor
2025-01-25,Mumbai,25.2,35,0.0,208,26.6,Poor
2025-01-25,Chennai,24.6,34,0.0,245,26.0,Poor
2025-01-25,Ahmedabad,43.5,83,0.0,188,46.8,Poor
2025-01-25,Hyderabad,39.3,67,11.6,174,42.0,Poor
2025-01-25,Lucknow,29.1,61,1.9,215,31.5,Poor
2025-01-25,Shimla,25.6,64,0.0,89,28.2,Moderate
2025-01-26,Delhi,38.7,36,0.0,321,40.1,Poor
2025-01-26,Bangalore,25.3,71,0.0,135,28.1,Poor
2025-01-26,Mumbai,25.6,54,0.0,281,27.8,Poor
2025-01-26,Chennai,27.7,39,0.0,194,29.3,Poor
2025-01-26,Ahmedabad,35.8,53,0.0,237,37.9,Poor
2025-01-26,Hyderabad,24.3,73,10.1,200,27.2,Poor
2025-01-26,Lucknow,35.0,34,0.0,223,36.4,Poor
2025-01-26,Shimla,9.2,51,0.0,78,11.2,Moderate
2025-01-27,Delhi,30.1,64,0.0,277,32.7,Poor
2025-01-27,Bangalore,22.2,80,5.5,177,25.4,Poor
2025-01-27,Mumbai,30.9,61,0.0,234,33.3,Poor
2025-01-27,Chennai,24.8,40,0.0,233,26.4,Poor
2025-01-27,Ahmedabad,38.2,84,0.0,229,41.6,Poor
2025-01-27,Hyderabad,38.0,54,0.0,204,40.2,Poor
2025-01-27,Lucknow,38.0,43,0.0,238,39.7,Poor
2025-01-27,Shimla,9.9,41,0.0,107,11.5,Poor
2025-01-28,Delhi,37.5,85,0.0,268,40.9,Poor
2025-01-28,Bangalore,30.4,78,0.0,208,33.5,Poor
2025-01-28,Mumbai,24.3,69,0.0,182,27.1,Poor
2025-01-28,Chennai,39.6,62,0.0,222,42.1,Poor
2025-01-28,Ahmedabad,22.3,32,12.5,223,23.6,Poor
2025-01-28,Hyderabad,37.5,31,0.0,211,38.7,Poor
2025-01-28,Lucknow,25.7,48,13.0,212,27.6,Poor
2025-01-28,Shimla,13.1,45,0.0,91,14.9,Moderate
2025-01-29,Delhi,35.7,62,0.0,208,38.2,Poor
2025-01-29,Bangalore,18.2,80,0.0,165,21.4,Poor
2025-01-29,Mumbai,30.8,57,0.0,260,33.1,Poor
2025-01-29,Chennai,30.4,82,0.0,243,33.7,Poor
2025-01-29,Ahmedabad,21.7,74,0.0,222,24.7,Poor
2025-01-29,Hyderabad,37.6,35,3.6,189,39.0,Poor
2025-01-29,Lucknow,27.3,49,0.0,246,29.3,Poor
2025-01-29,Shimla,14.5,47,0.0,70,16.4,Moderate
2025-01-30,Delhi,34.9,55,0.6,260,37.1,Poor
2025-01-30,Bangalore,17.5,79,0.0,164,20.7,Poor
2025-01-30,Mumbai,36.6,83,0.0,227,39.9,Poor
2025-01-30,Chennai,33.2,33,0.0,188,34.5,Poor
2025-01-30,Ahmedabad,34.0,32,0.0,193,35.3,Poor
2025-01-30,Hyderabad,32.7,44,0.0,164,34.5,Poor
2025-01-30,Lucknow,26.1,32,0.0,191,27.4,Poor
2025-01-30,Shimla,3.0,69,0.0,83,5.8,Moderate
2025-01-31,Delhi,20.6,68,0.0,240,23.3,Poor
2025-01-31,Bangalore,24.5,59,0.0,179,26.9,Poor
2025-01-31,Mumbai,29.1,38,0.0,248,30.6,Poor
2025-01-31,Chennai,41.0,53,6.9,185,43.1,Poor
2025-01-31,Ahmedabad,32.7,82,0.0,220,36.0,Poor
2025-01-31,Hyderabad,38.7,37,2.2,185,40.2,Poor
2025-01-31,Lucknow,35.7,52,0.0,242,37.8,Poor
2025-01-31,Shimla,3.1,54,0.0,71,5.3,Moderate
2025-02-01,Delhi,40.3,54,15.8,260,42.5,Poor
2025-02-01,Bangalore,28.8,58,0.0,195,31.1,Poor
2025-02-01,Mumbai,28.4,83,0.0,240,31.7,Poor
2025-02-01,Chennai,32.0,47,0.0,234,33.9,Poor
2025-02-01,Ahmedabad,43.8,80,0.0,179,47.0,Poor
2025-02-01,Hyderabad,32.5,38,0.0,206,34.0,Poor
2025-02-01,Lucknow,37.3,31,13.3,223,38.5,Poor
2025-02-01,Shimla,14.5,56,0.0,86,16.7,Moderate
2025-02-02,Delhi,19.1,74,0.0,298,22.1,Poor
2025-02-02,Bangalore,28.8,33,0.0,132,30.1,Poor
2025-02-02,Mumbai,34.2,76,0.0,245,37.2,Poor
2025-02-02,Chennai,37.6,49,10.4,213,39.6,Poor
2025-02-02,Ahmedabad,43.7,55,0.0,188,45.9,Poor
2025-02-02,Hyderabad,34.4,62,0.0,214,36.9,Poor
2025-02-02,Lucknow,30.1,38,0.0,193,31.6,Poor
2025-02-02,Shimla,9.6,39,0.0,96,11.2,Moderate
2025-02-03,Delhi,29.5,83,10.2,251,32.8,Poor
2025-02-03,Bangalore,23.0,40,0.0,132,24.6,Poor
2025-02-03,Mumbai,37.5,40,0.0,273,39.1,Poor
2025-02-03,Chennai,38.1,81,0.0,254,41.3,Poor
2025-02-03,Ahmedabad,35.0,80,0.0,232,38.2,Poor
2025-02-03,Hyderabad,28.4,57,0.0,164,30.7,Poor
2025-02-03,Lucknow,33.9,39,0.0,200,35.5,Poor
2025-02-03,Shimla,24.3,45,0.0,93,26.1,Moderate
2025-02-04,Delhi,22.5,63,0.0,294,25.0,Poor
2025-02-04,Bangalore,16.7,31,9.8,182,17.9,Poor
2025-02-04,Mumbai,26.4,30,6.2,267,27.6,Poor
2025-02-04,Chennai,29.5,37,14.3,245,31.0,Poor
2025-02-04,Ahmedabad,21.4,35,0.0,202,22.8,Poor
2025-02-04,Hyderabad,39.9,53,13.1,242,42.0,Poor
2025-02-04,Lucknow,28.4,36,0.0,236,29.8,Poor
2025-02-04,Shimla,3.4,39,0.0,75,5.0,Moderate
2025-02-05,Delhi,28.2,69,10.2,291,31.0,Poor
2025-02-05,Bangalore,20.0,31,9.9,161,21.2,Poor
2025-02-05,Mumbai,26.5,43,14.7,264,28.2,Poor
2025-02-05,Chennai,36.4,46,0.0,234,38.2,Poor
2025-02-05,Ahmedabad,18.0,50,0.0,242,20.0,Poor
2025-02-05,Hyderabad,29.8,84,0.0,229,33.2,Poor
2025-02-05,Lucknow,33.9,67,13.0,203,36.6,Poor
2025-02-05,Shimla,15.0,62,14.1,108,17.5,Poor
2025-02-06,Delhi,28.1,79,0.0,223,31.3,Poor
2025-02-06,Bangalore,26.1,53,0.0,140,28.2,Poor
2025-02-06,Mumbai,27.5,71,0.0,211,30.3,Poor
2025-02-06,Chennai,33.9,56,0.0,252,36.1,Poor
2025-02-06,Ahmedabad,36.7,53,0.0,250,38.8,Poor
2025-02-06,Hyderabad,23.1,47,0.0,158,25.0,Poor
2025-02-06,Lucknow,25.5,49,0.0,202,27.5,Poor
2025-02-06,Shimla,22.5,31,0.0,108,23.7,Poor
2025-02-07,Delhi,32.2,32,0.0,309,33.5,Poor
2025-02-07,Bangalore,18.8,68,0.0,200,21.5,Poor
2025-02-07,Mumbai,37.1,49,0.0,188,39.1,Poor
2025-02-07,Chennai,39.0,76,0.0,209,42.0,Poor
2025-02-07,Ahmedabad,33.4,77,0.0,221,36.5,Poor
2025-02-07,Hyderabad,24.9,77,5.9,211,28.0,Poor
2025-02-07,Lucknow,21.9,47,0.0,231,23.8,Poor
2025-02-07,Shimla,7.2,41,0.0,86,8.8,Moderate
2025-02-08,Delhi,25.1,78,0.0,257,28.2,Poor
2025-02-08,Bangalore,28.8,82,0.0,177,32.1,Poor
2025-02-08,Mumbai,36.2,31,0.0,256,37.4,Poor
2025-02-08,Chennai,39.5,73,17.1,195,42.4,Poor
2025-02-08,Ahmedabad,19.2,72,5.5,240,22.1,Poor
2025-02-08,Hyderabad,31.8,70,0.0,187,34.6,Poor
2025-02-08,Lucknow,18.0,68,0.0,230,20.7,Poor
2025-02-08,Shimla,27.9,80,0.0,111,31.1,Poor
2025-02-09,Delhi,37.7,35,17.9,303,39.1,Poor
2025-02-09,Bangalore,28.9,48,0.0,208,30.8,Poor
2025-02-09,Mumbai,29.7,68,0.0,214,32.4,Poor
2025-02-09,Chennai,24.2,55,2.6,244,26.4,Poor
2025-02-09,Ahmedabad,42.3,81,0.0,220,45.5,Poor
2025-02-09,Hyderabad,21.1,71,13.9,171,23.9,Poor
2025-02-09,Lucknow,34.1,64,0.0,266,36.7,Poor
2025-02-09,Shimla,4.0,74,0.0,68,7.0,Moderate
2025-02-10,Delhi,37.5,34,0.0,250,38.9,Poor
2025-02-10,Bangalore,17.0,73,1.3,174,19.9,Poor
2025-02-10,Mumbai,30.3,46,0.0,293,32.1,Poor
2025-02-10,Chennai,37.8,76,17.5,220,40.8,Poor
2025-02-10,Ahmedabad,33.2,73,5.4,257,36.1,Poor
2025-02-10,Hyderabad,21.2,67,19.4,188,23.9,Poor
2025-02-10,Lucknow,27.8,78,0.0,233,30.9,Poor
2025-02-10,Shimla,9.4,53,0.0,91,11.5,Moderate
2025-02-11,Delhi,30.7,75,0.0,207,33.7,Poor
2025-02-11,Bangalore,27.7,32,0.0,141,29.0,Poor
2025-02-11,Mumbai,32.0,63,0.0,175,34.5,Poor
2025-02-11,Chennai,40.0,34,0.0,176,41.4,Poor
2025-02-11,Ahmedabad,39.4,61,0.0,264,41.8,Poor
2025-02-11,Hyderabad,40.8,76,13.3,168,43.8,Poor
2025-02-11,Lucknow,19.4,63,0.0,256,21.9,Poor
2025-02-11,Shimla,12.1,37,11.6,103,13.6,Poor
2025-02-12,Delhi,18.0,80,0.0,232,21.2,Poor
2025-02-12,Bangalore,28.4,66,0.0,160,31.0,Poor
2025-02-12,Mumbai,37.0,35,7.5,234,38.4,Poor
2025-02-12,Chennai,26.5,70,0.0,201,29.3,Poor
2025-02-12,Ahmedabad,43.7,33,0.0,241,45.0,Poor
2025-02-12,Hyderabad,22.9,40,0.0,203,24.5,Poor
2025-02-12,Lucknow,21.2,45,0.0,168,23.0,Poor
2025-02-12,Shimla,18.6,50,1.5,93,20.6,Moderate
2025-02-13,Delhi,11.7,64,0.0,280,14.3,Poor
2025-02-13,Bangalore,25.6,81,4.6,150,28.8,Poor
2025-02-13,Mumbai,27.5,57,6.3,276,29.8,Poor
2025-02-13,Chennai,41.4,82,0.0,194,44.7,Poor
2025-02-13,Ahmedabad,22.8,44,0.0,235,24.6,Poor
2025-02-13,Hyderabad,21.0,68,0.0,189,23.7,Poor
2025-02-13,Lucknow,27.9,82,0.0,256,31.2,Poor
2025-02-13,Shimla,8.4,44,4.2,87,10.2,Moderate
2025-02-14,Delhi,11.4,58,0.0,301,13.7,Poor
2025-02-14,Bangalore,20.1,62,0.0,179,22.6,Poor
2025-02-14,Mumbai,32.5,60,0.0,263,34.9,Poor
2025-02-14,Chennai,29.7,32,8.7,232,31.0,Poor
2025-02-14,Ahmedabad,21.3,40,0.0,217,22.9,Poor
2025-02-14,Hyderabad,31.9,70,10.6,179,34.7,Poor
2025-02-14,Lucknow,23.9,62,0.0,213,26.4,Poor
2025-02-14,Shimla,23.7,39,0.0,101,25.3,Poor
2025-02-15,Delhi,17.6,59,0.0,268,20.0,Poor
2025-02-15,Bangalore,22.9,43,0.0,175,24.6,Poor
2025-02-15,Mumbai,22.6,63,0.0,265,25.1,Poor
2025-02-15,Chennai,31.6,38,0.0,209,33.1,Poor
2025-02-15,Ahmedabad,19.1,49,10.7,239,21.1,Poor
2025-02-15,Hyderabad,24.9,40,0.0,144,26.5,Poor
2025-02-15,Lucknow,13.3,33,4.6,183,14.6,Poor
2025-02-15,Shimla,11.3,43,0.0,91,13.0,Moderate
2025-02-16,Delhi,39.2,37,0.0,272,40.7,Poor
2025-02-16,Bangalore,20.7,44,0.0,176,22.5,Poor
2025-02-16,Mumbai,34.4,50,0.0,237,36.4,Poor
2025-02-16,Chennai,28.4,73,0.0,261,31.3,Poor
2025-02-16,Ahmedabad,35.2,30,0.0,200,36.4,Poor
2025-02-16,Hyderabad,34.1,84,0.0,168,37.5,Poor
2025-02-16,Lucknow,29.2,35,0.0,215,30.6,Poor
2025-02-16,Shimla,21.4,72,0.0,70,24.3,Moderate
2025-02-17,Delhi,32.6,36,0.0,307,34.0,Poor
2025-02-17,Bangalore,32.2,35,8.6,186,33.6,Poor
2025-02-17,Mumbai,36.9,32,0.0,280,38.2,Poor
2025-02-17,Chennai,24.7,38,0.0,213,26.2,Poor
2025-02-17,Ahmedabad,42.3,57,11.0,253,44.6,Poor
2025-02-17,Hyderabad,40.3,80,6.1,203,43.5,Poor
2025-02-17,Lucknow,34.0,76,0.0,239,37.0,Poor
2025-02-17,Shimla,3.0,52,0.0,96,5.1,Moderate
2025-02-18,Delhi,28.8,78,0.0,248,31.9,Poor
2025-02-18,Bangalore,29.8,81,0.0,135,33.0,Poor
2025-02-18,Mumbai,35.1,71,0.0,224,37.9,Poor
2025-02-18,Chennai,39.4,58,7.9,237,41.7,Poor
2025-02-18,Ahmedabad,31.9,84,0.0,215,35.3,Poor
2025-02-18,Hyderabad,21.8,84,0.0,178,25.2,Poor
2025-02-18,Lucknow,38.2,48,0.0,220,40.1,Poor
2025-02-18,Shimla,13.9,75,0.0,87,16.9,Moderate
2025-02-19,Delhi,29.8,43,0.0,284,31.5,Poor
2025-02-19,Bangalore,18.7,40,0.0,207,20.3,Poor
2025-02-19,Mumbai,33.4,66,0.0,268,36.0,Poor
2025-02-19,Chennai,25.7,77,5.7,209,28.8,Poor
2025-02-19,Ahmedabad,21.4,62,0.0,207,23.9,Poor
2025-02-19,Hyderabad,29.6,35,4.8,230,31.0,Poor
2025-02-19,Lucknow,34.4,37,0.0,216,35.9,Poor
2025-02-19,Shimla,12.7,58,9.2,99,15.0,Moderate
2025-02-20,Delhi,33.9,78,19.5,224,37.0,Poor
2025-02-20,Bangalore,22.2,73,0.0,165,25.1,Poor
2025-02-20,Mumbai,26.9,33,0.0,178,28.2,Poor
2025-02-20,Chennai,35.8,52,0.0,256,37.9,Poor
2025-02-20,Ahmedabad,18.7,68,0.0,212,21.4,Poor
2025-02-20,Hyderabad,33.7,33,0.0,174,35.0,Poor
2025-02-20,Lucknow,23.6,49,3.4,228,25.6,Poor
2025-02-20,Shimla,10.2,73,0.0,89,13.1,Moderate
2025-02-21,Delhi,19.7,49,0.0,244,21.7,Poor
2025-02-21,Bangalore,16.3,36,0.0,192,17.7,Poor
2025-02-21,Mumbai,29.3,79,0.0,223,32.5,Poor
2025-02-21,Chennai,36.0,34,0.0,232,37.4,Poor
2025-02-21,Ahmedabad,22.1,55,0.0,209,24.3,Poor
2025-02-21,Hyderabad,39.3,80,0.0,156,42.5,Poor
2025-02-21,Lucknow,20.3,47,0.4,232,22.2,Poor
2025-02-21,Shimla,27.5,39,0.0,107,29.1,Poor
2025-02-22,Delhi,22.9,61,0.0,228,25.3,Poor
2025-02-22,Bangalore,30.1,47,0.0,165,32.0,Poor
2025-02-22,Mumbai,27.3,37,0.0,234,28.8,Poor
2025-02-22,Chennai,32.1,66,0.0,203,34.7,Poor
2025-02-22,Ahmedabad,28.5,38,7.3,187,30.0,Poor
2025-02-22,Hyderabad,30.3,81,0.0,170,33.5,Poor
2025-02-22,Lucknow,39.0,61,6.9,214,41.4,Poor
2025-02-22,Shimla,3.5,46,0.0,72,5.3,Moderate
2025-02-23,Delhi,34.1,37,0.0,237,35.6,Poor
2025-02-23,Bangalore,30.2,63,0.0,143,32.7,Poor
2025-02-23,Mumbai,27.9,67,0.0,243,30.6,Poor
2025-02-23,Chennai,40.7,61,0.0,276,43.1,Poor
2025-02-23,Ahmedabad,33.6,79,0.0,238,36.8,Poor
2025-02-23,Hyderabad,34.8,84,0.0,210,38.2,Poor
2025-02-23,Lucknow,21.8,47,0.0,217,23.7,Poor
2025-02-23,Shimla,27.9,68,0.0,97,30.6,Moderate
2025-02-24,Delhi,40.8,65,0.0,281,43.4,Poor
2025-02-24,Bangalore,21.8,82,17.6,174,25.1,Poor
2025-02-24,Mumbai,36.0,61,0.0,204,38.4,Poor
2025-02-24,Chennai,36.0,81,0.0,228,39.2,Poor
2025-02-24,Ahmedabad,28.8,39,0.0,249,30.4,Poor
2025-02-24,Hyderabad,41.7,49,0.0,194,43.7,Poor
2025-02-24,Lucknow,19.7,50,16.0,232,21.7,Poor
2025-02-24,Shimla,19.4,41,0.0,89,21.0,Moderate
2025-02-25,Delhi,23.0,44,0.0,229,24.8,Poor
2025-02-25,Bangalore,23.6,34,0.0,129,25.0,Poor
2025-02-25,Mumbai,24.2,53,11.7,262,26.3,Poor
2025-02-25,Chennai,26.9,82,0.0,248,30.2,Poor
2025-02-25,Ahmedabad,25.2,71,0.0,258,28.0,Poor
2025-02-25,Hyderabad,35.5,80,0.0,214,38.7,Poor
2025-02-25,Lucknow,20.9,46,0.0,242,22.7,Poor
2025-02-25,Shimla,11.7,41,15.6,110,13.3,Poor
2025-02-26,Delhi,36.4,31,0.0,301,37.6,Poor
2025-02-26,Bangalore,25.4,62,0.0,182,27.9,Poor
2025-02-26,Mumbai,35.1,78,0.0,189,38.2,Poor
2025-02-26,Chennai,39.8,53,0.0,211,41.9,Poor
2025-02-26,Ahmedabad,30.6,83,2.6,247,33.9,Poor
2025-02-26,Hyderabad,32.7,62,0.0,219,35.2,Poor
2025-02-26,Lucknow,21.7,64,0.0,245,24.3,Poor
2025-02-26,Shimla,5.4,83,0.0,107,8.7,Poor
2025-02-27,Delhi,39.9,49,0.0,255,41.9,Poor
2025-02-27,Bangalore,20.3,34,0.0,127,21.7,Poor
2025-02-27,Mumbai,29.4,65,16.1,239,32.0,Poor
2025-02-27,Chennai,25.5,49,0.0,219,27.5,Poor
2025-02-27,Ahmedabad,40.3,62,10.3,223,42.8,Poor
2025-02-27,Hyderabad,36.9,85,12.4,196,40.3,Poor
2025-02-27,Lucknow,24.2,60,0.0,229,26.6,Poor
2025-02-27,Shimla,27.9,68,0.0,75,30.6,Moderate
2025-02-28,Delhi,17.6,65,0.0,304,20.2,Poor
2025-02-28,Bangalore,21.5,52,0.0,157,23.6,Poor
2025-02-28,Mumbai,26.7,84,6.9,270,30.1,Poor
2025-02-28,Chennai,39.5,40,0.0,227,41.1,Poor
2025-02-28,Ahmedabad,44.7,82,0.0,193,48.0,Poor
2025-02-28,Hyderabad,39.4,40,0.0,200,41.0,Poor
2025-02-28,Lucknow,15.0,32,0.0,227,16.3,Poor
2025-02-28,Shimla,18.8,69,0.0,119,21.6,Poor
2025-03-01,Delhi,23.1,63,0.0,245,25.6,Poor
2025-03-01,Bangalore,32.2,73,0.0,141,35.1,Poor
2025-03-01,Mumbai,37.3,69,0.0,229,40.1,Poor
2025-03-01,Chennai,27.0,47,0.0,213,28.9,Poor
2025-03-01,Ahmedabad,30.2,58,0.0,201,32.5,Poor
2025-03-01,Hyderabad,41.0,49,0.0,177,43.0,Poor
2025-03-01,Lucknow,23.1,80,0.0,245,26.3,Poor
2025-03-01,Shimla,10.9,45,0.0,96,12.7,Moderate
2025-03-02,Delhi,31.3,60,0.0,321,33.7,Poor
2025-03-02,Bangalore,28.9,67,0.0,141,31.6,Poor
2025-03-02,Mumbai,27.0,54,7.3,282,29.2,Poor
2025-03-02,Chennai,26.1,41,7.3,252,27.7,Poor
2025-03-02,Ahmedabad,34.0,46,0.0,249,35.8,Poor
2025-03-02,Hyderabad,38.9,34,0.0,199,40.3,Poor
2025-03-02,Lucknow,19.8,82,0.0,222,23.1,Poor
2025-03-02,Shimla,21.3,73,5.6,99,24.2,Moderate
2025-03-03,Delhi,34.2,77,6.8,241,37.3,Poor
2025-03-03,Bangalore,30.4,47,0.0,130,32.3,Poor
2025-03-03,Mumbai,31.5,44,0.0,202,33.3,Poor
2025-03-03,Chennai,28.4,74,0.1,177,31.4,Poor
2025-03-03,Ahmedabad,23.4,66,0.0,190,26.0,Poor
2025-03-03,Hyderabad,38.4,81,0.0,228,41.6,Poor
2025-03-03,Lucknow,27.6,30,0.0,199,28.8,Poor
2025-03-03,Shimla,7.5,65,9.3,97,10.1,Moderate
2025-03-04,Delhi,26.8,64,14.6,300,29.4,Poor
2025-03-04,Bangalore,17.2,35,0.0,200,18.6,Poor
2025-03-04,Mumbai,35.0,73,11.9,285,37.9,Poor
2025-03-04,Chennai,30.6,37,0.0,188,32.1,Poor
2025-03-04,Ahmedabad,29.3,73,10.0,195,32.2,Poor
2025-03-04,Hyderabad,30.9,36,0.0,180,32.3,Poor
2025-03-04,Lucknow,39.8,81,0.0,236,43.0,Poor
2025-03-04,Shimla,17.3,75,7.8,85,20.3,Moderate
2025-03-05,Delhi,35.9,65,0.0,260,38.5,Poor
2025-03-05,Bangalore,21.1,69,0.0,165,23.9,Poor
2025-03-05,Mumbai,22.7,35,0.0,233,24.1,Poor
2025-03-05,Chennai,24.2,39,0.0,226,25.8,Poor
2025-03-05,Ahmedabad,43.4,74,0.0,258,46.4,Poor
2025-03-05,Hyderabad,36.4,40,0.0,219,38.0,Poor
2025-03-05,Lucknow,30.5,32,0.0,263,31.8,Poor
2025-03-05,Shimla,2.7,45,0.0,118,4.5,Poor
2025-03-06,Delhi,24.2,61,0.0,271,26.6,Poor
2025-03-06,Bangalore,21.1,63,0.0,163,23.6,Poor
2025-03-06,Mumbai,35.8,78,0.0,240,38.9,Poor
2025-03-06,Chennai,33.9,53,0.0,193,36.0,Poor
2025-03-06,Ahmedabad,44.5,56,10.9,168,46.7,Poor
2025-03-06,Hyderabad,34.0,60,0.0,204,36.4,Poor
2025-03-06,Lucknow,31.3,49,0.0,238,33.3,Poor
2025-03-06,Shimla,26.0,75,0.0,97,29.0,Moderate
2025-03-07,Delhi,13.6,63,0.0,257,16.1,Poor
2025-03-07,Bangalore,30.5,75,0.0,142,33.5,Poor
2025-03-07,Mumbai,36.5,31,2.7,252,37.7,Poor
2025-03-07,Chennai,31.1,45,0.0,275,32.9,Poor
2025-03-07,Ahmedabad,31.0,85,12.4,233,34.4,Poor
2025-03-07,Hyderabad,34.6,70,0.0,163,37.4,Poor
2025-03-07,Lucknow,20.6,48,0.0,185,22.5,Poor
2025-03-07,Shimla,6.8,46,0.0,103,8.6,Poor
2025-03-08,Delhi,12.5,67,0.0,218,15.2,Poor
2025-03-08,Bangalore,23.1,74,4.0,169,26.1,Poor
2025-03-08,Mumbai,34.4,70,0.0,201,37.2,Poor
2025-03-08,Chennai,37.2,57,0.0,216,39.5,Poor
2025-03-08,Ahmedabad,32.3,54,0.0,240,34.5,Poor
2025-03-08,Hyderabad,20.2,56,12.4,189,22.4,Poor
2025-03-08,Lucknow,31.1,76,0.0,194,34.1,Poor
2025-03-08,Shimla,5.0,30,0.0,63,6.2,Moderate
2025-03-09,Delhi,17.9,54,0.0,254,20.1,Poor
2025-03-09,Bangalore,21.8,44,1.2,170,23.6,Poor
2025-03-09,Mumbai,30.1,58,0.0,269,32.4,Poor
2025-03-09,Chennai,27.4,50,0.0,226,29.4,Poor
2025-03-09,Ahmedabad,25.6,48,0.1,187,27.5,Poor
2025-03-09,Hyderabad,41.1,57,9.2,205,43.4,Poor
2025-03-09,Lucknow,34.7,74,0.0,214,37.7,Poor
2025-03-09,Shimla,9.5,60,0.0,97,11.9,Moderate
2025-03-10,Delhi,21.5,70,15.3,226,24.3,Poor
2025-03-10,Bangalore,18.7,42,0.0,147,20.4,Poor
2025-03-10,Mumbai,31.8,57,0.0,265,34.1,Poor
2025-03-10,Chennai,37.5,37,0.0,186,39.0,Poor
2025-03-10,Ahmedabad,44.5,82,0.0,221,47.8,Poor
